step,image,n_2d3d,pnp_inliers,new_points,n_registered,n_points,retriangulated
1,PXL_20260519_151419041.jpg,662,648,727,3,1757,0
2,PXL_20260519_151418492.jpg,782,745,370,4,2127,0
3,PXL_20260519_151417929.jpg,842,806,393,5,2520,0
4,PXL_20260519_151542751.jpg,842,795,325,6,2845,0
5,PXL_20260519_151420760.jpg,884,820,394,7,3239,0
6,PXL_20260519_151417214.MP.jpg,743,665,192,8,3431,0
7,PXL_20260519_151421416.jpg,667,595,394,9,3825,0
8,PXL_20260519_151421924.jpg,832,734,510,10,4335,0
9,PXL_20260519_151422581.jpg,875,739,334,11,4669,0
10,PXL_20260519_151423262.jpg,820,645,396,12,5065,0
11,PXL_20260519_151423904.jpg,996,814,442,13,5507,0
12,PXL_20260519_151537927.jpg,1060,800,303,14,5810,0
13,PXL_20260519_151424515.jpg,1081,900,263,15,6073,0
14,PXL_20260519_151537415.jpg,1127,894,303,16,6376,0
15,PXL_20260519_151538498.jpg,1026,830,252,17,6628,0
16,PXL_20260519_151536890.jpg,963,720,230,18,6858,0
17,PXL_20260519_151536343.jpg,927,656,318,19,7176,0
18,PXL_20260519_151539020.jpg,748,533,173,20,7349,0
19,PXL_20260519_151535845.jpg,721,490,292,21,7641,0
20,PXL_20260519_151539651.jpg,706,476,408,22,8049,0
21,PXL_20260519_151542138.jpg,682,488,151,23,8200,0
22,PXL_20260519_151425140.jpg,676,445,160,24,8360,0
23,PXL_20260519_151535222.jpg,680,347,286,25,8646,0
24,PXL_20260519_151534634.jpg,652,362,501,26,9147,0
25,PXL_20260519_151534012.jpg,771,455,486,27,9633,0
26,PXL_20260519_151533465.jpg,936,552,506,28,10139,0
27,PXL_20260519_151532902.jpg,938,555,340,29,10479,0
28,PXL_20260519_151532156.jpg,671,266,230,30,10709,0
29,PXL_20260519_151541558.jpg,673,392,251,31,10960,0
30,PXL_20260519_151540979.jpg,690,435,338,32,11298,0
31,PXL_20260519_151540345.jpg,788,511,335,33,11633,0
32,PXL_20260519_151425722.jpg,644,367,264,34,11897,0
33,PXL_20260519_151531571.jpg,640,200,354,35,12251,0
34,PXL_20260519_151531026.jpg,741,327,537,36,12788,0
35,PXL_20260519_151530468.jpg,724,330,293,37,13081,0
36,PXL_20260519_151529958.jpg,653,243,349,38,13430,0
37,PXL_20260519_151426364.jpg,599,324,256,39,13686,0
38,PXL_20260519_151529393.jpg,596,292,298,40,13984,0
39,PXL_20260519_151528816.jpg,641,331,226,41,14210,0
40,PXL_20260519_151543617.jpg,598,408,145,42,14355,0
41,PXL_20260519_151510420.jpg,525,179,90,43,14445,0
42,PXL_20260519_151426845.jpg,525,222,220,44,14665,0
43,PXL_20260519_151511099.jpg,531,163,370,45,15035,0
44,PXL_20260519_151509720.jpg,638,256,399,46,15434,0
45,PXL_20260519_151508421.jpg,672,344,490,47,15924,0
46,PXL_20260519_151509090.jpg,836,469,478,48,16402,0
47,PXL_20260519_151507657.jpg,820,413,333,49,16735,0
48,PXL_20260519_151507055.jpg,736,357,326,50,17061,0
49,PXL_20260519_151506463.jpg,637,271,240,51,17301,0
50,PXL_20260519_151511835.jpg,707,332,329,52,17630,0
51,PXL_20260519_151512328.jpg,709,243,223,53,17853,0
52,PXL_20260519_151505804.jpg,715,316,152,54,18005,0
53,PXL_20260519_151505231.jpg,727,321,423,55,18428,0
54,PXL_20260519_151504382.jpg,776,326,253,56,18681,0
55,PXL_20260519_151544722.jpg,441,217,140,57,18821,0
56,PXL_20260519_151427448.jpg,544,200,226,58,19047,0
57,PXL_20260519_151544162.jpg,509,321,317,59,19364,0
58,PXL_20260519_151545425.jpg,516,284,197,60,19561,0
59,PXL_20260519_151503056.jpg,579,186,213,61,19774,0
60,PXL_20260519_151545912.jpg,455,211,171,62,19945,0
61,PXL_20260519_151546493.jpg,404,190,194,63,20139,0
62,PXL_20260519_151547067.jpg,421,183,214,64,20353,0
63,PXL_20260519_151547575.jpg,462,212,186,65,20539,0
64,PXL_20260519_151548141.jpg,380,137,166,66,20705,0
